ingredient_id	code	kor	eng	def	level	upper_class	super_upper_class	etc
1	A0000000000000	식물성			1	A0000000000000	A0000000000000	
2	A0100000000000	곡류			2	A0000000000000	A0000000000000	
3	A0100100000000	쌀			3	A0100000000000	A0000000000000	
4	Y0000000000001	일반미			4	A0100100000000	A0000000000000	
5	Y0000000000002	청결미			4	A0100100000000	A0000000000000	
6	Y0000000000003	품질인증미			4	A0100100000000	A0000000000000	
7	Y0000000000004	혼합미			4	A0100100000000	A0000000000000	
8	Y0000000000005	흑미			4	A0100100000000	A0000000000000	
9	Y0000000000006	향미			4	A0100100000000	A0000000000000	
10	Y0000000000007	양조미			4	A0100100000000	A0000000000000	
11	Y0000000000008	대립미			4	A0100100000000	A0000000000000	
12	Y0000000000009	쑥쌀			4	A0100100000000	A0000000000000	
13	Y000000000000A	멥쌀			4	A0100100000000	A0000000000000	
14	A0100100001813	찹쌀			3	A0100000000000	A0000000000000	
15	Y000000000000B	일반계			4	A0100100001813	A0000000000000	
16	Y000000000000C	현미찹쌀			4	A0100100001813	A0000000000000	
17	A0100100011813	찹쌀가루			4	A0100100001813	A0000000000000	
18	A0100100002813	현미			3	A0100000000000	A0000000000000	
19	Y000000000000D	현미쑥쌀			4	A0100100002813	A0000000000000	
20	Y000000000000E	메현미			4	A0100100002813	A0000000000000	
21	Y000000000000F	찰현미			4	A0100100002813	A0000000000000	
22	Y0000000000010	흑현미			4	A0100100002813	A0000000000000	
23	Y0000000000011	발아현미			4	A0100100002813	A0000000000000	
24	Y0000000000012	찰흑미			4	A0100100002813	A0000000000000	
25	Y0000000000013	흑향미			4	A0100100002813	A0000000000000	
26	A0100100004000	쌀건조			4	A0100100000000	A0000000000000	
27	A0100100008000	쌀냉동			4	A0100100000000	A0000000000000	
28	A0100100000813	쌀가루			4	A0100100000000	A0000000000000	
29	A0100200000000	보리			3	A0100000000000	A0000000000000	
30	Y0000000000014	쌀보리			4	A0100200000000	A0000000000000	
31	Y0000000000015	맥주보리			4	A0100200000000	A0000000000000	
32	Y0000000000016	발아보리			4	A0100200000000	A0000000000000	
33	Y0000000000017	겉보리			4	A0100200000000	A0000000000000	
34	A0100200000813	보리쌀			3	A0100000000000	A0000000000000	
35	Y0000000000018	겉보리쌀			4	A0100200000813	A0000000000000	
36	Y0000000000019	쌀보리쌀			4	A0100200000813	A0000000000000	
37	Y000000000001A	맥주보리쌀			4	A0100200000813	A0000000000000	
38	Y000000000001B	찰보리쌀			4	A0100200000813	A0000000000000	
39	Y000000000001C	늘보리쌀			4	A0100200000813	A0000000000000	
40	Y000000000001D	할맥			4	A0100200000813	A0000000000000	
41	Y000000000001E	압맥			4	A0100200000813	A0000000000000	
42	A0100200004000	보리건조			4	A0100200000000	A0000000000000	
43	A0100200008000	보리냉동			4	A0100200000000	A0000000000000	
44	A0100300000000	밀			3	A0100000000000	A0000000000000	
45	Y000000000001F	밀			4	A0100300000000	A0000000000000	
46	Y0000000000020	발아밀			4	A0100300000000	A0000000000000	
47	A0100300004000	밀건조			4	A0100300000000	A0000000000000	
48	A0100300008000	밀냉동			4	A0100300000000	A0000000000000	
49	A0100400000000	메밀			3	A0100000000000	A0000000000000	
50	A0100400004000	메밀건조			4	A0100400000000	A0000000000000	
51	A0100400008000	메밀냉동			4	A0100400000000	A0000000000000	
52	A0100500000000	조			3	A0100000000000	A0000000000000	
53	Y0000000000021	차조			4	A0100500000000	A0000000000000	
54	Y0000000000022	메좁쌀			4	A0100500000000	A0000000000000	
55	Y0000000000023	차좁쌀			4	A0100500000000	A0000000000000	
56	Y0000000000024	좁쌀			4	A0100500000000	A0000000000000	
57	Y0000000000025	발아조			4	A0100500000000	A0000000000000	
58	Y0000000000026	메조			4	A0100500000000	A0000000000000	
59	A0100500004000	조건조			4	A0100500000000	A0000000000000	
60	A0100500008000	조냉동			4	A0100500000000	A0000000000000	
61	A0100600000000	수수			3	A0100000000000	A0000000000000	
62	Y0000000000027	차수수			4	A0100600000000	A0000000000000	
63	Y0000000000028	수수쌀			4	A0100600000000	A0000000000000	
64	Y0000000000029	발아수수			4	A0100600000000	A0000000000000	
65	Y000000000002A	메수수			4	A0100600000000	A0000000000000	
66	A0100600004000	수수건조			4	A0100600000000	A0000000000000	
67	A0100600008000	수수냉동			4	A0100600000000	A0000000000000	
68	A0100700000000	옥수수			3	A0100000000000	A0000000000000	
69	Y000000000002B	곡실옥수수			4	A0100700000000	A0000000000000	
70	Y000000000002C	찰옥수수			4	A0100700000000	A0000000000000	
71	Y000000000002D	풋옥수수			4	A0100700000000	A0000000000000	
72	Y000000000002E	팝콘옥수수			4	A0100700000000	A0000000000000	
73	Y000000000002F	옥수수쌀			4	A0100700000000	A0000000000000	
74	Y0000000000030	미백			4	A0100700000000	A0000000000000	
75	Y0000000000031	단옥수수			4	A0100700000000	A0000000000000	
76	Y0000000000032	발아옥수수			4	A0100700000000	A0000000000000	
77	A0100700004000	옥수수건조			4	A0100700000000	A0000000000000	
78	A0100700008000	옥수수냉동			4	A0100700000000	A0000000000000	
79	A0100800000000	귀리			3	A0100000000000	A0000000000000	
