ingredient_symnonym_id,word,code,ingredient_id
1,찹쌀분말,A0100100011813,17
2,쌀분말,A0100100000813,28
3,부소맥,A0100300000000,44
4,부소맥,Y000000000001F,45
5,부소맥,Y0000000000020,46
6,부소맥,A0100300004000,47
7,부소맥,A0100300008000,48
8,교맥,A0100400000000,49
9,교맥,A0100400004000,50
10,교맥,A0100400008000,51
11,옥미수,A0100700000000,68
12,옥고량,A0100700000000,68
13,옥미수,Y000000000002B,69
14,옥고량,Y000000000002B,69
15,옥미수,Y000000000002C,70
16,옥고량,Y000000000002C,70
17,옥미수,Y000000000002D,71
18,옥고량,Y000000000002D,71
19,옥미수,Y000000000002E,72
20,옥고량,Y000000000002E,72
21,옥미수,Y000000000002F,73
22,옥고량,Y000000000002F,73
23,옥미수,Y0000000000030,74
24,옥고량,Y0000000000030,74
25,옥미수,Y0000000000031,75
26,옥고량,Y0000000000031,75
27,옥미수,Y0000000000032,76
28,옥고량,Y0000000000032,76
29,옥미수,A0100700004000,77
30,옥고량,A0100700004000,77
31,옥미수,A0100700008000,78
32,옥고량,A0100700008000,78
33,의이인,A0101000000000,85
34,의이인,Y0000000000033,86
35,의이인,Y0000000000034,87
36,의이인,Y0000000000035,88
37,의이인,A0101000004000,89
38,의이인,A0101000008000,90
39,Quinoa,A0101300000000,98
40,Quinoa,A0101300004000,99
41,Quinoa,A0101300008000,100
42,라이밀,A0101400000000,101
43,라이밀,A0101400004000,102
44,라이밀,A0101400008000,103
45,타피오카,A0200500000000,165
46,타피오카,A0200500004000,166
47,타피오카,A0200500008000,167
48,구약,A0200600000000,168
49,곤약의 잎줄기,A0200600000000,168
50,구약,A0200600004000,169
51,곤약의 잎줄기,A0200600004000,169
52,구약,A0200600008000,170
53,곤약의 잎줄기,A0200600008000,170
54,콩,A0300000000000,180
55,콩,Y000000000005F,181
56,콩,Y0000000000060,182
57,콩,Y0000000000061,183
58,콩,Y0000000000062,184
59,콩,Y0000000000063,185
60,콩,Y0000000000064,186
61,콩,Y0000000000065,187
62,콩,Y0000000000066,188
63,콩,Y0000000000067,189
64,콩,Y0000000000068,190
65,콩,Y0000000000069,191
66,콩,Y000000000006A,192
67,콩,Y000000000006B,193
68,콩,Y000000000006C,194
69,콩,Y000000000006D,195
70,콩,Y000000000006E,196
71,콩,Y000000000006F,197
72,콩,Y0000000000070,198
73,콩,Y0000000000071,199
74,콩분말,A0300000000813,200
75,적소두,A0300600000000,231
76,적소두,Y0000000000080,232
77,적소두,Y0000000000081,233
78,적소두,Y0000000000082,234
79,적소두,Y0000000000083,235
80,적소두,Y0000000000084,236
81,적소두,A0300600004000,237
82,적소두,A0300600008000,238
83,풋콩,A0301100000000,251
84,풋콩,A0301100004000,252
85,풋콩,A0301100008000,253
86,칼콩,A0301300000000,257
87,도두,A0301300000000,257
88,칼콩,A0301300004000,258
89,도두,A0301300004000,258
90,칼콩,A0301300008000,259
91,도두,A0301300008000,259
92,백편두,A0301500000000,263
93,백편두,A0301500004000,264
94,백편두,A0301500008000,265
95,적소두,A0301600000000,266
96,소두화,A0301600000000,266
97,예팥,A0301600000000,266
98,적소두,A0301600004000,267
99,소두화,A0301600004000,267
100,예팥,A0301600004000,267
101,적소두,A0301600008000,268
102,소두화,A0301600008000,268
103,예팥,A0301600008000,268
104,호도인,A0400100200000,294
105,호도인,Y0000000000096,295
106,호도인,Y0000000000097,296
107,호도인,Y0000000000098,297
108,호도인,Y0000000000099,298
109,호도인,Y000000000009A,299
110,호도인,Y000000000009B,300
111,호도인,Y000000000009C,301
112,호도인,A0400100204000,302
113,호도인,A0400100208000,303
114,백과,A0400100300000,304
115,백과,Y000000000009D,305
116,백과,Y000000000009E,306
117,백과,Y000000000009F,307
118,백과,A0400100304000,308
119,백과,A0400100308000,309
