recipe_id,name,way,weight,calorie,carbohydrate,protein,fat,salt,img_small,img_big,category,dish
28,새우 두부 계란찜,4,0.0,220.0,3.0,14.0,17.0,99.0,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00028_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00028_1.png,반찬,1
29,부추 콩가루 찜,4,0.0,215.0,20.0,14.0,9.0,240.0,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00029_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00029_1.png,반찬,1
31,방울토마토 소박이,6,0.0,45.0,9.0,2.0,1.0,277.0,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00031_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00031_1.png,반찬,1
32,순두부 사과 소스 오이무침,6,0.0,75.0,10.0,4.0,2.0,22.0,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00032_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00032_2.png,반찬,1
33,사과 새우 북엇국,2,0.0,65.0,2.0,12.0,1.0,78.0,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00033_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00033_1.png,국&찌개,1
36,저염 된장으로 맛을 낸 황태해장국,2,0.0,100.0,12.0,13.0,0.0,361.0,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00036_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00036_1.png,국&찌개,1
37,된장국,2,0.0,20.0,3.0,2.0,0.0,260.0,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00037_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00037_1.png,국&찌개,1
38,표고버섯 청경채국,2,0.0,45.0,7.0,2.0,1.0,2441.0,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00038_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00038_1.png,국&찌개,1
95,치커리샐러드와 올리브 마늘 소스,6,0.0,170.0,13.0,3.0,12.0,74.0,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00095_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00095_1.png,반찬,1
87,스트로베리 샐러드,6,0.0,195.0,30.0,7.0,5.0,138.0,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00087_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00087_1.png,반찬,1
89,시금치 우유 소스와 그린매쉬드포테이토,4,0.0,155.0,32.0,5.0,1.0,24.0,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00089_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00089_1.png,반찬,1
91,버섯구이와 두부타르타르 소스,1,0.0,150.0,18.0,8.0,5.0,133.0,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00091_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00091_1.png,반찬,1
93,구운채소와 간장레몬 소스,1,0.0,175.0,19.0,4.0,9.0,38.0,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00093_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00093_1.png,반찬,1
94,브로콜리 컬리플라워 샐러드와 두유 요거트 소스,6,0.0,210.0,30.0,9.0,6.0,79.0,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00094_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00094_1.png,반찬,1
108,오렌지와 당근 만남주스,6,250.0,60.0,14.0,1.0,0.0,76.0,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00108_1.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00108_1.png,후식,1
111,칠곡석류국수,2,0.0,73.4,12.7,2.1,1.6,12.5,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00111_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00111_1.png,일품,1
113,블랙빈 곤약국수,2,0.0,54.3,4.9,3.4,2.4,18.5,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00113_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00113_1.png,일품,1
114,닭가슴살 브로콜리 만두,4,0.0,123.2,19.0,8.4,1.5,167.9,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00114_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00114_1.png,일품,1
131,함초 냉이 국수,2,0.0,35.8,7.1,1.8,0.0,34.5,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00131_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00131_1.png,일품,1
137,된장 두부찌개,2,0.0,77.3,2.4,7.5,4.2,124.6,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00137_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00137_1.png,국&찌개,1
138,부대된장찌개,2,0.0,72.6,4.2,5.3,3.9,191.9,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00138_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00138_1.png,국&찌개,1
181,양배추감자전,1,0.0,148.9,14.7,7.7,6.6,107.1,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00181_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00181_1.png,반찬,1
74,돌나물 샐러드,6,0.0,235.0,2.0,3.0,24.0,151.0,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00074_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00074_1.png,반찬,1
159,석류 보쌈김치,6,0.0,24.5,4.7,1.4,0.0,171.3,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00159_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00159_1.png,반찬,1
161,유자 대구조림,2,0.0,84.0,10.6,9.6,0.4,109.7,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00161_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00161_1.png,반찬,1
162,파프리카 물김치,6,0.0,44.9,10.1,1.1,0.0,272.0,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00162_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00162_1.png,반찬,1
193,고추장 라따뚜이,1,0.0,62.6,7.6,3.1,2.2,138.5,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00193_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00193_1.png,반찬,1
201,민들레 샐러드,6,0.0,53.9,10.9,2.4,0.0,874.2,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00201_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00201_1.png,반찬,1
202,토마토 가지 카프레제,1,0.0,90.5,7.4,1.2,6.2,11.3,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00202_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00202_1.png,후식,1
636,우렁된장소스 배추롤,4,0.0,326.3,43.0,22.3,7.2,976.0,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00636_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00636_1.png,일품,1
637,인삼떡갈비,1,0.0,253.3,15.0,26.9,9.5,196.0,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00637_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00637_1.png,반찬,1
638,초계탕과 사색곤약,2,0.0,100.1,7.7,15.4,0.9,54.4,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00638_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00638_1.png,반찬,1
639,호박잎 삼계탕,2,0.0,314.1,53.7,16.0,3.9,55.9,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00639_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00639_1.png,일품,1
640,황태미역 곤약스프,2,0.0,124.9,3.2,14.3,6.1,790.3,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00640_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00640_1.png,국&찌개,1
641,훈제오리가슴살 샐러드,1,0.0,261.8,11.5,21.0,14.6,636.0,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00641_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00641_1.png,반찬,1
642,훈제오리가슴살크러스트,1,0.0,250.0,13.5,17.2,14.1,352.2,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00642_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00642_1.png,반찬,1
643,간장소스를 곁들인 새우전복찜,4,0.0,119.1,8.2,19.2,1.1,455.9,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00643_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00643_1.png,반찬,1
