recipe_id,sequence,description,img
28,1,1. 손질된 새우를 끓는 물에 데쳐 건진다.a,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00028_1.png
28,2,"2. 연두부, 달걀, 생크림, 설탕에 녹인 무염버터를 믹서에 넣고 간 뒤 새우(1)를 함께 섞어 그릇에 담는다.b",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00028_2.png
28,3,3. 시금치를 잘게 다져 혼합물 그릇(2)에 뿌리고 찜기에 넣고 중간 불에서 10분 정도 찐다.c,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00028_3.png
29,1,"1. 부추는 깨끗이 씻어 물기를 제거하고, 5cm 길이로 썰고 부추에 날콩가루를 넣고 고루 섞이도록 버무린다.",http://www.foodsafetykorea.go.kr/uploadimg/20230206/20230206054820_1675673300714.jpg
29,2,2. 찜기에 면보를 깔고 부추를 넣은 후 김이 오르게 쪄서 파랗게 익힌다.,http://www.foodsafetykorea.go.kr/uploadimg/20230206/20230206054834_1675673314720.jpg
29,3,"3. 저염간장에 다진 대파, 다진 마늘, 고춧가루, 요리당 , 참기름, 참깨를 섞어 양념장을 만들고 찐 부추는 그릇에 담아낸다.",http://www.foodsafetykorea.go.kr/uploadimg/20230206/20230206054908_1675673348152.jpg
31,1,1. 물기를 빼고 2cm 정도의 크기로 썰은 부추와 양파를 양념장에 섞어 양념속을 만든다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00031_1.png
31,2,2. 깨끗이 씻은 방울토마토는 꼭지를 떼고 윗부분에 칼로 십자모양으로 칼집을 낸다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00031_4.png
31,3,3. 칼집을 낸 방울토마토에 양념속을 사이사이에 넣어 버무린다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00031_5.png
32,1,"1. 사과, 순두부를 믹서에 넣고 곱게 갈아 소스를 만든다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00032_1.png
32,2,2. 오이는 소금으로 문질러 씻어 반을 갈라 씨를 제거하고 어슷썰기를 한다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00032_2.png
32,3,3. 썰어 놓은 오이에 순두부사과 소스를 넣고 버무린 후 다진 땅콩을 뿌려 마무리 한다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00032_3.png
33,1,"1. 북어채를 잘게 손으로 찢어 찬물에 헹구어 준비한 후, 양파, 표고버섯, 사과는 채 썰고 새우는 등쪽의 두세 마디에 꼬챙이를 넣어 내장을 뺀 후 헹군다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00033_2.png
33,2,"2. 찬물에 북어채, 새우, 표고버섯, 양파를 넣고 20분 정도 끓인 후 사과를 넣어 북어의 씁쓸한 맛을 없앤다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00033_3.png
33,3,3. 그릇에 담아낸다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00033_5.png
36,1,1. 황태는 손질하여 물에 헹궈 건져 놓고 콩나물은 다듬어 씻고 청양고추는 어슷썰기 한다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00036_3.png
36,2,2. 냄비에 물을 붓고 황태와 무를 넣고 끓인 후 육수에서 물을 건져내고 저염 된장을 푼다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00036_4.png
36,3,"3. 콩나물, 다진 마늘, 청양고추를 넣고 뚜껑을 덮어 김이 나게 끓
여준다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00036_5.png
37,1,"1. 감자, 양파는 얇게 썰고 애느타리 버섯은 썰어 달궈진 팬에 굽는다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00037_2.png
37,2,"2. 냄비에 물을 붓고 된장을 푼 뒤 감자, 양파, 두부를 넣어 재료가 투명해지게 끓인 후 된장국의 재료를 건져서 믹서에 넣어 갈고 된장국에 넣어 한번 더 끓인다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00037_4.png
37,3,3. 구운 애느타리버섯과 대파를 국에 넣어 끓인 후 그릇에 담는다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00037_6.png
38,1,"1. 찬물에 표고버섯,머리와 내장을 제거한 멸치,
다시마, 양파를 넣어 중간 불에서 10분 정도
끓여 멸치육수를 만든다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00038_1.png
38,2,"2. 육수의 표고버섯 기둥, 멸치, 다시마, 양파를 건진 후 표고버섯은 편으로 썰고 청경채는 4cm 크기로 썬다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00038_2.png
