recipe_utensil_id,recipe_id,utensil_id
1,28,12
2,28,13
3,28,14
4,28,15
5,29,12
6,29,13
7,29,14
8,29,15
9,89,12
10,89,13
11,89,14
12,89,15
13,114,12
14,114,13
15,114,14
16,114,15
17,636,12
18,636,13
19,636,14
20,636,15
21,643,12
22,643,13
23,643,14
24,643,15
25,513,12
26,513,13
27,513,14
28,513,15
29,664,12
30,664,13
31,664,14
32,664,15
33,671,12
34,671,13
35,671,14
36,671,15
37,414,12
38,414,13
39,414,14
40,414,15
41,420,12
42,420,13
43,420,14
44,420,15
45,421,12
46,421,13
47,421,14
48,421,15
49,532,12
50,532,13
51,532,14
52,532,15
53,536,12
54,536,13
55,536,14
56,536,15
57,583,12
58,583,13
59,583,14
60,583,15
61,338,12
62,338,13
63,338,14
64,338,15
65,446,12
66,446,13
67,446,14
68,446,15
69,245,12
70,245,13
71,245,14
72,245,15
73,246,12
74,246,13
75,246,14
76,246,15
77,247,12
78,247,13
79,247,14
80,247,15
81,248,12
82,248,13
83,248,14
84,248,15
85,249,12
86,249,13
87,249,14
88,249,15
89,366,12
90,366,13
91,366,14
92,366,15
93,478,12
94,478,13
95,478,14
96,478,15
97,615,12
98,615,13
99,615,14
100,615,15
101,616,12
102,616,13
103,616,14
104,616,15
105,321,12
106,321,13
107,321,14
108,321,15
109,241,12
110,241,13
111,241,14
112,241,15
113,242,12
114,242,13
115,242,14
116,242,15
117,243,12
118,243,13
119,243,14
120,243,15
121,244,12
122,244,13
123,244,14
124,244,15
125,497,12
126,497,13
127,497,14
128,497,15
129,646,12
130,646,13
131,646,14
132,646,15
133,648,12
134,648,13
135,648,14
136,648,15
137,649,12
138,649,13
139,649,14
140,649,15
141,738,12
142,738,13
143,738,14
144,738,15
145,521,12
146,521,13
147,521,14
148,521,15
149,522,12
150,522,13
151,522,14
152,522,15
153,526,12
154,526,13
155,526,14
156,526,15
157,679,12
158,679,13
159,679,14
160,679,15
161,544,12
162,544,13
163,544,14
164,544,15
165,692,12
166,692,13
167,692,14
168,692,15
169,703,12
170,703,13
171,703,14
172,703,15
173,706,12
174,706,13
175,706,14
176,706,15
177,622,12
178,622,13
179,622,14
180,622,15
181,632,12
182,632,13
183,632,14
184,632,15
185,633,12
186,633,13
187,633,14
188,633,15
189,721,12
190,721,13
191,721,14
192,721,15
193,722,12
194,722,13
195,722,14
196,722,15
197,2963,12
198,2963,13
199,2963,14
200,2963,15
201,3243,12
202,3243,13
203,3243,14
204,3243,15
205,3262,12
206,3262,13
207,3262,14
208,3262,15
209,3244,12
210,3244,13
211,3244,14
212,3244,15
213,3206,12
214,3206,13
215,3206,14
216,3206,15
217,2973,12
218,2973,13
219,2973,14
220,2973,15
221,3269,12
222,3269,13
223,3269,14
224,3269,15
225,857,12
226,857,13
227,857,14
228,857,15
229,3213,12
230,3213,13
231,3213,14
232,3213,15
233,3273,12
234,3273,13
235,3273,14
236,3273,15
237,876,12
238,876,13
239,876,14
240,876,15
241,3272,12
242,3272,13
243,3272,14
244,3272,15
245,3078,12
246,3078,13
247,3078,14
248,3078,15
249,917,12
250,917,13
251,917,14
252,917,15
253,3275,12
254,3275,13
255,3275,14
256,3275,15
257,928,12
258,928,13
259,928,14
260,928,15
261,943,12
262,943,13
263,943,14
264,943,15
265,944,12
266,944,13
267,944,14
268,944,15
269,945,12
270,945,13
271,945,14
272,945,15
273,3077,12
274,3077,13
275,3077,14
276,3077,15
277,956,12
278,956,13
279,956,14
