seasoning_symnonym_id,word,seasoning_id,code
1,호초,3,A0802000004000
2,호초,4,A0802000008000
3,,1,A0800500004000
4,,2,A0800500008000
5,,5,Y00000000007A1
6,,6,Y00000000007A2
7,,7,Y00000000007A3
8,,8,Y00000000007A4
9,,9,Y00000000007A5
10,,10,Y00000000007A6
11,,11,Y00000000007A7
12,,12,Y00000000007A8
13,,13,Y00000000007A9
14,,14,Y00000000007AA
15,,15,Y00000000007AB
16,,16,Y00000000007AC
17,,17,Y00000000007AD
18,,18,Y00000000007AE
19,,19,Y00000000007AF
20,,20,Y00000000007B0
21,,21,Y00000000007B1
22,,22,Y00000000007B2
23,,23,Y00000000007B3
24,,24,Y00000000007B4
25,,25,Y00000000007B5
26,,26,Y00000000007B6
27,,27,C0120010000000
28,,28,C0120010100000
29,,29,C0120010200000
30,,30,C0120020000000
31,,31,C0120020100000
32,,32,C0120020200000
33,,33,C0120030000000
34,,34,C0120040000000
35,,35,C0120050000000
36,,36,C0120060000000
37,,37,C0120070000000
38,,38,C0120080000000
39,,39,C0120090000000
40,,40,C0120100000000
41,,41,C0120110000000
42,,42,C0120120000000
43,,43,C0120130000000
44,,44,C0120140000000
45,,45,C0120150000000
46,,46,C0121010000000
47,,47,C0121010100000
48,,48,C0121010200000
49,,49,C0121010300000
50,,50,C0121010400000
51,,51,C0121010500000
52,,52,C0121020000000
53,,53,C0121030000000
54,,54,C0121040000000
55,,55,C0121040100000
56,,56,C0121040200000
57,,57,C0121050000000
58,,58,C0121050100000
59,,59,C0121050200000
60,,60,C0121060000000
61,,61,C0121060100000
62,,62,C0121060200000
63,,63,C0121070000000
64,,64,C0124010000000
65,,65,C0124010001813
66,,66,Y00000000007E2
67,,67,Y00000000007E3
68,,68,Y00000000007E4
69,,69,Y00000000007E5
70,,70,Y00000000007E6
71,,71,Y00000000007E7
72,,72,Y00000000007E8
73,,73,Y00000000007E9
74,,74,Y00000000007EA
75,,75,Y00000000007EB
76,,76,Y00000000007EC
77,,77,Y00000000007ED
78,,78,Y00000000007EE
79,,79,Y00000000007EF
80,,80,Y00000000007F0
81,,81,Y00000000007F1
82,,82,Y00000000007F2
83,,83,Y00000000007F3
84,,84,Y00000000007F4
85,,85,Y00000000007F5
86,,86,Y00000000007F6
87,,87,Y00000000007F7
88,,88,Y00000000007F8
89,,89,Y00000000007F9
90,,90,Y00000000007FA
91,,91,Y00000000007FB
92,,92,Y00000000007FC
93,,93,Y00000000007FD
94,,94,Y00000000007FE
95,,95,Y00000000007FF
96,,96,Y0000000000800
97,,97,Y0000000000801
98,,98,Y0000000000802
99,,99,Y0000000000803
100,,100,C0124010002813
101,,101,Y0000000000804
102,,102,Y0000000000805
103,,103,Y0000000000806
104,,104,Y0000000000807
105,,105,Y0000000000808
106,,106,Y0000000000809
107,,107,C0124010003813
108,,108,Y000000000080A
109,,109,Y000000000080B
110,,110,Y000000000080C
111,,111,Y000000000080D
112,,112,C0124020000000
113,,113,C0124030000000
114,,114,Y000000000080E
115,,115,Y000000000080F
116,,116,Y0000000000810
117,,117,Y0000000000811
118,,118,C0124040000000
119,,119,C0124050000000
120,,120,C0129030100000
121,,121,C0129030200000
122,,122,C0129030300000
123,,123,C0129040100000
124,,124,C0129040200000
125,,125,C0129120100000
126,,126,C0129120200000
127,,127,C0129120300000
128,,128,C0129120400000
129,,129,C0129120500000
130,,130,C0129120600000
